"project_name","was_td_removed","epoch_interval","comment_classification"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,1688379,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,155370704,"DESIGN"
"Tomcat",1,106377,"DESIGN"
"Tomcat",1,23432619,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,1429818,"DESIGN"
"Tomcat",1,7282310,"DESIGN"
"Tomcat",1,124619802,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,29552815.829478,"DESIGN"
"Tomcat",1,64433620,"DESIGN"
"Tomcat",0,302566577.829478,"DESIGN"
"Tomcat",1,277530,"DESIGN"
"Tomcat",1,9132366,"DESIGN"
"Tomcat",1,155371593,"DESIGN"
"Tomcat",1,3023660,"DESIGN"
"Tomcat",0,109062333.829478,"DESIGN"
"Tomcat",1,36019062,"DESIGN"
"Tomcat",1,175861205,"DESIGN"
"Tomcat",1,37820418,"DESIGN"
"Tomcat",1,32221512,"DESIGN"
"Tomcat",1,133262702,"DESIGN"
"Tomcat",0,215561359.829478,"DESIGN"
"Tomcat",1,256906783,"DESIGN"
"Tomcat",0,77850174.829478,"DESIGN"
"Tomcat",1,34723272,"DESIGN"
"Tomcat",1,151413608,"DESIGN"
"Tomcat",0,242519379.829478,"DESIGN"
"Tomcat",1,155371484,"DESIGN"
"Tomcat",0,281895211.829478,"DESIGN"
"Tomcat",1,64689253,"DESIGN"
"Tomcat",1,2914633,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,114780738,"DESIGN"
"Tomcat",1,77829532,"DESIGN"
"Tomcat",1,77829532,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,77850174.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,82120164,"DESIGN"
"Tomcat",0,47419857.829478,"DESIGN"
"Tomcat",0,1713369.829478,"DESIGN"
"Tomcat",0,24176043.829478,"DESIGN"
"Tomcat",0,24177966.829478,"DESIGN"
"Tomcat",0,200340290.829478,"DESIGN"
"Tomcat",1,86902,"DESIGN"
"Tomcat",1,728,"DESIGN"
"Tomcat",1,99365382,"DESIGN"
"Tomcat",1,273722,"DESIGN"
"Tomcat",1,47497,"DESIGN"
"Tomcat",1,169554635,"DESIGN"
"Tomcat",1,97333959,"DESIGN"
"Tomcat",1,122198902,"DESIGN"
"Tomcat",1,606685,"DESIGN"
"Tomcat",1,343724,"DESIGN"
"Tomcat",1,2739094,"DESIGN"
"Tomcat",1,128045773,"DESIGN"
"Tomcat",1,176116,"DESIGN"
"Tomcat",1,260694,"DESIGN"
"Tomcat",1,176116,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,128991530,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,25983195,"DESIGN"
"Tomcat",0,80668946.829478,"DESIGN"
"Tomcat",0,113862013.829478,"DESIGN"
"Tomcat",1,742953,"DESIGN"
"Tomcat",1,1777141,"DESIGN"
"Tomcat",1,20010248,"DESIGN"
"Tomcat",1,178294713,"DESIGN"
