"project_name","was_td_removed","epoch_interval","comment_classification"
"Hadoop",0,6213952.239268,"DESIGN"
"Hadoop",0,26008910.239268,"DESIGN"
"Hadoop",0,115611627.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,14079012.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,85414989.239268,"DESIGN"
"Hadoop",0,138812875.239268,"DESIGN"
"Hadoop",0,154377944.239268,"DESIGN"
"Hadoop",1,2331278,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",1,10067281,"DESIGN"
"Hadoop",0,94839263.239268,"DESIGN"
"Hadoop",0,50709612.239268,"DESIGN"
"Hadoop",1,56081689,"DESIGN"
"Hadoop",0,142750188.239268,"DESIGN"
"Hadoop",0,121791715.239268,"DESIGN"
"Hadoop",0,55814292.239268,"DESIGN"
"Hadoop",1,123866694,"DESIGN"
"Hadoop",1,504057,"DESIGN"
"Hadoop",0,48551245.239268,"DESIGN"
"Hadoop",1,602880,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",0,68139219.239268,"DESIGN"
"Hadoop",0,85399683.239268,"DESIGN"
"Hadoop",1,18846873,"DESIGN"
"Hadoop",1,926789,"DESIGN"
"Hadoop",0,96582494.239268,"DESIGN"
"Hadoop",0,96582494.239268,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",0,154099921.239268,"DESIGN"
"Hadoop",1,1370329,"DESIGN"
"Hadoop",0,115610667.239268,"DESIGN"
"Hadoop",1,345184,"DESIGN"
"Hadoop",0,78780013.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,85399683.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,144666454.239268,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",1,13655982,"DESIGN"
"Hadoop",1,11657135,"DESIGN"
"Hadoop",1,24804623,"DESIGN"
"Hadoop",1,2226044,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,57969225.239268,"DESIGN"
"Hadoop",0,68554342.239268,"DESIGN"
"Hadoop",0,18487643.239268,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",0,104902807.239268,"DESIGN"
"Hadoop",1,2206721,"DESIGN"
"Hadoop",1,3106663,"DESIGN"
"Hadoop",0,105202957.239268,"DESIGN"
"Hadoop",0,130956460.239268,"DESIGN"
"Hadoop",0,151440595.239268,"DESIGN"
"Hadoop",1,18392459,"DESIGN"
"Hadoop",1,1661044,"DESIGN"
"Hadoop",1,91243,"DESIGN"
"Hadoop",1,1661044,"DESIGN"
"Hadoop",1,11196831,"DESIGN"
"Hadoop",1,14664777,"DESIGN"
"Hadoop",0,153602594.239268,"DESIGN"
"Hadoop",0,154099921.239268,"DESIGN"
"Hadoop",1,1666532,"DESIGN"
"Hadoop",1,927689,"DESIGN"
"Hadoop",0,96568400.239268,"DESIGN"
"Hadoop",0,149870451.239268,"DESIGN"
