project_name,version_name,version_hash,version_date,version_order
apache-ant,TOMCAT_31_M1_RC1,0594183948be387180a9635b80e9ccfb52e8374f,2000-01-14 13:50:24,0
apache-ant,TOMCAT_31_M1,b945eda187beb0041c6251d0aa6e1cbf3e6579cb,2000-01-21 04:44:50,1
apache-ant,TOMCAT_31_BETA1,9ed5fadfd1ff606852ab2c4e8b3c9a40805524a8,2000-03-05 19:43:47,2
apache-ant,TOMCAT_31_RC1,8c9cea7acdaa96fdef5dc4439f85cee921bc596a,2000-04-12 16:20:53,3
apache-ant,TOMCAT_31_FINAL,0e3903c23e894da440c1b21b517989a5e7719d57,2000-04-12 16:20:53,4
apache-ant,ANT_11,5b11971b96a39668b89d0210ac6e8c00032995a1,2000-07-18 07:50:21,5
apache-ant,ANT_12,311a5f7cce44dfdcb66c7275e84ca2f201845d52,2000-10-24 08:45:24,6
apache-ant,ANT_13_B1,2603cf90f8277f051c17e144218e6eb39d2e7918,2001-02-05 13:54:05,7
apache-ant,ANT_MAIN_13_MERGE1,3b370ea8c95d525fe125bed0bdb110206f400653,2001-02-10 15:13:09,8
apache-ant,ANT_13_B2,0f6eaf27dcce610082b9e47d80e8e0c6fc09bf8d,2001-02-15 11:26:16,9
apache-ant,ANT_13_MAIN_MERGE4,086906487d306d8fdb5d2489f3e6ea3ed6bb9dd6,2001-02-18 13:28:03,10
apache-ant,ANT_MAIN_13_MERGE4,05928811c5ed58fec5c358cdaa63baf993866ea3,2001-02-18 13:44:44,11
apache-ant,ANT_13_B3,09f0d5536d62cbd2f3131a07ef9d7b768fb63a3e,2001-02-21 13:21:28,12
apache-ant,ANT_13,71d035b07bf886e3a071917b8c3b94515773e49d,2001-03-01 11:53:58,13
apache-ant,ANT_14_B1,ba9786dbe557e4a12f91a597cc26638b29c93b9f,2001-08-09 11:54:06,14
apache-ant,ANT_MAIN_14B2,596b21c73022c953121a97f8d4f51c15a4602bbe,2001-08-19 05:52:00,15
apache-ant,ANT_14_B2,b4ae8dd9647a4b253597250be8dc1797c3e4fec6,2001-08-19 15:17:25,16
apache-ant,ANT_DOCS_PRE_14,d464069892202397438c4b7aa9b9ebc088267866,2001-08-21 13:37:09,17
apache-ant,ANT_MAIN_14,5859c51db117b00c4ae9a51532d65454babef9c3,2001-08-30 13:29:20,18
apache-ant,ANT_14,17edf52615670b78ee8079e4b501981f4d2a5b34,2001-09-03 09:40:05,19
apache-ant,ANT_141_B1,fb7f7494fbbb4b3a61a24739a88c818711c364e4,2001-10-01 08:17:40,20
apache-ant,ANT_141,542b54ebefac71b17f4f2f8be9114a011c08b64d,2001-10-11 13:05:27,21
apache-ant,MYRMIDON_PRE_CONF_MUNGE,b582e77a5e6af06bcfbe653764424226600bfece,2002-03-05 07:54:00,22
apache-ant,temp,051cb54f67b7b82b96d3197e1655cc39e9878a41,2002-05-07 11:08:33,23
apache-ant,ANT_15_B2,2362956ff3d00dcf48e354d29aba3663cc25af29,2002-05-31 23:01:29,24
apache-ant,ANT_MAIN_15B2,d8381fe36be34fd2b00c1e029792476686726691,2002-06-01 12:26:43,25
apache-ant,ANT_15_B3,0cd0bee4f08318c33936d907b7d9575c5517fd54,2002-06-22 19:45:44,26
apache-ant,ANT_MAIN_15B3,9545540bedc4c008d31899a4c471c17a2b1dbc9c,2002-06-22 23:46:50,27
apache-ant,ANT_15_RC1,4bf10d187eee092431f2ad8a773cc3b108249ea5,2002-07-07 20:52:02,28
apache-ant,ANT_15_FINAL,6a58fc065a946967e4842914d64b2e3259305021,2002-07-09 15:05:30,29
apache-ant,ANT_MAIN_15FINAL,5b6a1de04ceb83cfcb5fa72b0e5fb7444f5eff9d,2002-07-09 21:08:30,30
apache-ant,ANT_151_B1,f47077377b50e0d5fc5e8f0c6b7ab5df9880a560,2002-08-19 15:17:00,31
apache-ant,ANT_151_FINAL,cb3bc5fa53684533f42385432e356fea9a4eec19,2002-10-02 14:48:48,32
apache-ant,ANT_152_B1,75aaa11d9145baee150dfac687df2a8a24ab3203,2003-02-21 15:54:20,33
apache-ant,ANT_152_FINAL,9e0288a83f49d3f891707c4f1a68e6c6941d767c,2003-02-28 15:19:59,34
apache-ant,ANT_153,c4fd3ec17942471b771178736120fa7e27a21933,2003-04-08 14:17:04,35
apache-ant,ANT_154,2f25bfb118dbc829513060c312c817de4a32b83e,2003-08-11 06:09:51,36
apache-ant,ANT_16_B1,f64b6066d4d43a8fba222d8b2fd93cec2542a748,2003-09-30 09:38:53,37
apache-ant,ANT_16_B2,ab8035ab67e0187e151cf52714740d91c3c31dc9,2003-10-16 21:46:31,38
apache-ant,ANT_16_B3,451cb59aaf541d2013fc3e0e4a6da37c0ca55d22,2003-12-04 22:38:16,39
apache-ant,ANT_160,95b3cf06f18f717ce5dda4b77bfc3eed8b534ba8,2003-12-18 12:46:41,40
