"project_name","epoch_time_to_remove"
"Log4j",159369408
"Log4j",11780327
"Log4j",113395192
"Log4j",162099774
"Log4j",2201784
"Log4j",6212634
"Log4j",2201784
"Log4j",11093723
"Log4j",318475791
"Log4j",522638
"Log4j",22145897
"Log4j",195161773
"Log4j",86463714
"Log4j",522638
"Log4j",14227
"Log4j",318475791
"Log4j",83968583
"Log4j",14285858
"Log4j",202368542
"Log4j",72897785
"Log4j",199014047
"Log4j",156393992
"Log4j",162099774
"Log4j",8208774
"Log4j",199140661
"Log4j",7612908
"Log4j",176207889
"Log4j",6404115
"Log4j",522638
"Log4j",18169295
"Log4j",86463714
"Log4j",86463714
"Log4j",63161827
"Log4j",70663087
"Log4j",30785356
"Log4j",201983660
"Log4j",14944868
"Log4j",99634860
"Log4j",128292070
"Log4j",118581
"Log4j",113392106
"Log4j",158234686
"Log4j",14944868
"Log4j",201983660
"Log4j",28792340
"Log4j",9049272
